"SPName","FoundInCSharp","CSharpFiles"
"sp_AssignStudentToSection","True","System.Collections.Hashtable"
"sp_GetAcademicClassReport","False",""
"sp_GetAcademicSectionReport","False",""
"sp_GetAcademicYearList","True","System.Collections.Hashtable"
"sp_GetClassList","True","System.Collections.Hashtable"
"sp_GetSectionList","True","System.Collections.Hashtable"
"sp_GetSubjectList","True","System.Collections.Hashtable"
"sp_SeedClassSubjectMappings_BD","True","System.Collections.Hashtable"
"sp_GetAdmissionList","True","System.Collections.Hashtable"
"sp_AdmissionTrendAnalysis","True","System.Collections.Hashtable"
"sp_AdmissionRevenueReport","True","System.Collections.Hashtable"
"sp_AdmissionRegisterReport","True","System.Collections.Hashtable"
"sp_AdmissionDashboard","True","System.Collections.Hashtable"
"sp_AdmissionConversionFunnel","True","System.Collections.Hashtable"
"sp_AdmissionClassDemand","True","System.Collections.Hashtable"
"sp_GetStudentList","True","System.Collections.Hashtable"
"sp_BulkGenerateAdmitCards","False",""
"sp_GenerateAdmitCard","False",""
"sp_GetClassSummary","False",""
"sp_GetGroupSummary","False",""
"sp_GetStudentTrend","False",""
"sp_GetAbsentStudents","False",""
"sp_GetAttendanceAnalytics","True","System.Collections.Hashtable"
"sp_GetAttendanceDashboardSummary","True","System.Collections.Hashtable"
"sp_GetAttendanceHistory","False",""
"sp_GetAttendanceList","True","System.Collections.Hashtable"
"sp_GetAttendanceRevisionHistory","False",""
"sp_GetAttendanceSessions","True","System.Collections.Hashtable"
"sp_GetAttendanceSummary","True","System.Collections.Hashtable"
"sp_GetClassAttendanceAnalytics","True","System.Collections.Hashtable"
"sp_GetEmployeeAttendanceAnalytics","False",""
"sp_GetEmployeeAttendanceList","True","System.Collections.Hashtable"
"sp_GetLateStudents","False",""
"sp_GetStudentAttendanceList","True","System.Collections.Hashtable"
"sp_Audit_LogAction","False",""
"SP_BackupExamResults","False",""
"SP_RestoreExamResults","False",""
"sp_GetEmployeeInvitationList","True","System.Collections.Hashtable"
"SP_ExamRoutine_GetClassRoutine","False",""
"SP_ExamRoutine_GetGuardianRoutine","False",""
"SP_ExamRoutine_GetStudentRoutine","False",""
"SP_ExamRoutine_GetTeacherRoutine","False",""
"SP_Exam_DashboardSummary","False",""
"SP_Exam_GetAllResults","False",""
