"SPName","FoundInCSharp","CSharpFiles"
"sp_AssignStudentToSection","True","G:\PROJECT .NET\SchoolMS\clonelatest\Services\Implementations\Academic\SectionService.cs"
"sp_GetAcademicClassReport","False",""
"sp_GetAcademicSectionReport","False",""
"sp_GetAcademicYearList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Academic\AcademicRepositories.cs"
"sp_GetClassList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Academic\AcademicRepositories.cs"
"sp_GetSectionList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Academic\AcademicRepositories.cs"
"sp_GetSubjectList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Academic\AcademicRepositories.cs"
"sp_SeedClassSubjectMappings_BD","True","G:\PROJECT .NET\SchoolMS\clonelatest\Services\Implementations\Academic\ClassSubjectMappingService.cs"
"sp_GetAdmissionList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Models\DTOs\Admission\AdmissionDtos.cs; G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionRepositories.cs"
"sp_AdmissionTrendAnalysis","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionDashboardRepositories.cs"
"sp_AdmissionRevenueReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionDashboardRepositories.cs"
"sp_AdmissionRegisterReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionDashboardRepositories.cs"
"sp_AdmissionDashboard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionDashboardRepositories.cs"
"sp_AdmissionConversionFunnel","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionDashboardRepositories.cs"
"sp_AdmissionClassDemand","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Admission\AdmissionDashboardRepositories.cs"
"sp_GetStudentList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Students\StudentRepositories.cs"
"sp_BulkGenerateAdmitCards","False",""
"sp_GenerateAdmitCard","False",""
"sp_GetClassSummary","False",""
"sp_GetGroupSummary","False",""
"sp_GetStudentTrend","False",""
"sp_GetAbsentStudents","False",""
"sp_GetAttendanceAnalytics","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Dashboard\DashboardRepositories.cs"
"sp_GetAttendanceDashboardSummary","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Dashboard\DashboardRepositories.cs"
"sp_GetAttendanceHistory","False",""
"sp_GetAttendanceList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Attendance\AttendanceRepositories.cs"
"sp_GetAttendanceRevisionHistory","False",""
"sp_GetAttendanceSessions","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Attendance\AttendanceSessionRepository.cs"
"sp_GetAttendanceSummary","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Attendance\AttendanceModuleRepositories.cs"
"sp_GetClassAttendanceAnalytics","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Dashboard\DashboardRepositories.cs"
"sp_GetEmployeeAttendanceAnalytics","False",""
"sp_GetEmployeeAttendanceList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Attendance\AttendanceModuleRepositories.cs"
"sp_GetLateStudents","False",""
"sp_GetStudentAttendanceList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Attendance\AttendanceModuleRepositories.cs"
"sp_Audit_LogAction","False",""
"SP_BackupExamResults","False",""
"SP_RestoreExamResults","False",""
"sp_GetEmployeeInvitationList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Employee\EmployeeRepositories.cs"
"SP_ExamRoutine_GetClassRoutine","False",""
"SP_ExamRoutine_GetGuardianRoutine","False",""
"SP_ExamRoutine_GetStudentRoutine","False",""
"SP_ExamRoutine_GetTeacherRoutine","False",""
"SP_Exam_DashboardSummary","False",""
"SP_Exam_GetAllResults","False",""
"sp_GetExamComponents","False",""
"sp_GetExamDashboard","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\ResultRepository.cs"
"sp_GetExamList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\ResultRepository.cs"
"sp_GetExamMarkStructure","False",""
"sp_GetExamScheduleList","False",""
"sp_GetGroupReport","False",""
"sp_GetMarksEntryList","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Result\MarkEntryRepository.cs"
"sp_GetSubjectMarkStructure","False",""
"sp_SaveSubjectMarkStructure","False",""
"sp_GetClassCollectionSummary","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetDailyCollectionReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetDiscountReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetDueReport","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeReportRepository.cs"
"sp_GetFeeCategoriesPaged","True","G:\PROJECT .NET\SchoolMS\clonelatest\Repositories\Implementations\Fees\FeeRepositories.cs"
