
File                                             Status
----                                             ------
Academic\sp_AssignStudentToSection.sql           OK    
Academic\sp_GetAcademicYearList.sql              OK    
Academic\sp_GetClassList.sql                     OK    
Academic\sp_GetSectionList.sql                   OK    
Academic\sp_GetSubjectList.sql                   OK    
Academic\sp_SeedClassSubjectMappings_BD.sql      OK    
Admission\sp_GetAdmissionList.sql                OK    
AdmitCard\sp_BulkGenerateAdmitCards.sql          OK    
AdmitCard\sp_GenerateAdmitCard.sql               OK    
Analytics\sp_GetClassSummary.sql                 OK    
Analytics\sp_GetGroupSummary.sql                 OK    
Analytics\sp_GetStudentTrend.sql                 OK    
Attendance\sp_GetAbsentStudents.sql              OK    
Attendance\sp_GetAttendanceAnalytics.sql         OK    
Attendance\sp_GetAttendanceDashboardSummary.sql  OK    
Attendance\sp_GetAttendanceHistory.sql           OK    
Attendance\sp_GetAttendanceList.sql              OK    
Attendance\sp_GetAttendanceRevisionHistory.sql   OK    
Attendance\sp_GetAttendanceSessions.sql          OK    
Attendance\sp_GetAttendanceSummary.sql           OK    
Attendance\sp_GetClassAttendanceAnalytics.sql    OK    
Attendance\sp_GetEmployeeAttendanceAnalytics.sql OK    
Attendance\sp_GetEmployeeAttendanceList.sql      OK    
Attendance\sp_GetLateStudents.sql                OK    
Attendance\sp_GetStudentAttendanceList.sql       OK    
Audit\sp_Audit_LogAction.sql                     OK    
Backup\SP_BackupExamResults.sql                  OK    
Backup\SP_RestoreExamResults.sql                 OK    
Employee\sp_GetEmployeeInvitationList.sql        OK    
Exam\SP_ExamRoutine_GetClassRoutine.sql          OK    
Exam\SP_ExamRoutine_GetGuardianRoutine.sql       OK    
Exam\SP_ExamRoutine_GetStudentRoutine.sql        OK    
Exam\SP_ExamRoutine_GetTeacherRoutine.sql        OK    
Exam\SP_Exam_DashboardSummary.sql                OK    
Exam\SP_Exam_GetAllResults.sql                   OK    
Exam\sp_GetExamComponents.sql                    OK    
Exam\sp_GetExamDashboard.sql                     OK    
Exam\sp_GetExamList.sql                          OK    
Exam\sp_GetExamMarkStructure.sql                 OK    
Exam\sp_GetExamScheduleList.sql                  OK    
Exam\sp_GetGroupReport.sql                       OK    
Exam\sp_GetMarksEntryList.sql                    OK    
Exam\sp_GetSubjectMarkStructure.sql              OK    
Exam\sp_SaveSubjectMarkStructure.sql             OK    
Fees\sp_GetClassCollectionSummary.sql            OK    
Fees\sp_GetDailyCollectionReport.sql             OK    
Fees\sp_GetDiscountReport.sql                    OK    
Fees\sp_GetDueReport.sql                         OK    
Fees\sp_GetFeeCategoriesPaged.sql                OK    
Fees\sp_GetFeeCollectionSummariesPaged.sql       OK    
Fees\sp_GetFeeDashboard.sql                      OK    
Fees\sp_GetFeeDiscountsPaged.sql                 OK    
Fees\sp_GetFeeInvoiceItemsPaged.sql              OK    
Fees\sp_GetFeeInvoiceList.sql                    OK    
Fees\sp_GetFeeLedgerPaged.sql                    OK    
Fees\sp_GetFeePaymentsPaged.sql                  OK    
Fees\sp_GetFeeRefundsPaged.sql                   OK    
Fees\sp_GetFeeStructureList.sql                  OK    
